Postcode area,Price,Total Population,Latitude,Longitude,Total Count
AL,628351.2686980609,735580.0,51.769612798146504,-0.27913467933498415,7484
AL,628351.2686980609,735580.0,51.77082026040818,-0.276466959569446,4029
AL,628351.2686980609,735580.0,51.77094035473792,-0.27240954603753376,10411
BR,615313.0757894737,1776908.0,51.39866079336395,0.03550494336284527,8539
BR,615313.0757894737,1776908.0,51.40000154215793,0.03448500676808605,14099
BR,615313.0757894737,1776908.0,51.400042132787235,0.033948267850405424,10672
CB,503849.22607655503,81823.0,51.99817256514424,0.23597467165968952,1509
CB,503849.22607655503,81823.0,52.00070688328909,0.22995507924176828,399
CB,503849.22607655503,81823.0,52.006729610530144,0.2450523295457317,801
CM,516882.27594728174,3163504.0,51.75413836825419,0.34550589282301547,12483
CM,516882.27594728174,3163504.0,51.75447842631044,0.366064017089976,37295
CM,516882.27594728174,3163504.0,51.76176951951229,0.3677459663923051,22283
CO,435452.45177664974,1565592.0,51.86080534760476,0.991891471073391,11988
CO,435452.45177664974,1565592.0,51.86217735643151,0.9881123955779781,25636
CO,435452.45177664974,1565592.0,51.86631014975248,0.9781988394042879,4790
CR,480846.2224199288,3600823.0,51.369673828463114,-0.10040495802613553,13351
CR,480846.2224199288,3600823.0,51.373224140471955,-0.10516948894820329,18674
CR,480846.2224199288,3600823.0,51.3734447820238,-0.10456069321859816,29283
DA,433917.4800637959,1330027.0,51.461025519287034,0.13984261819341176,7255
DA,433917.4800637959,1330027.0,51.46200368997347,0.13708965265911124,5317
DA,433917.4800637959,1330027.0,51.4627679238429,0.14157619114865452,11259
E,572677.6676923077,11872451.0,51.54205284521662,-0.021313915172680695,62748
E,572677.6676923077,11872451.0,51.54415881551963,-0.016287361845471703,61847
E,572677.6676923077,11872451.0,51.54561986244422,-0.01550858670423949,32518
EN,608890.5331695331,2019889.0,51.67003461639803,-0.0772629384674618,11576
EN,608890.5331695331,2019889.0,51.67099533181624,-0.07612757414934972,21114
EN,608890.5331695331,2019889.0,51.671464072795594,-0.07733930286406192,14208
GL,433938.9933035714,3032.0,51.73483715643138,-1.611471834066654,267
GL,433938.9933035714,3032.0,51.76459283098371,-1.608637847822682,111
GL,433938.9933035714,3032.0,51.81403422085386,-1.6313878209007742,109
GU,609866.226581265,1310686.0,51.268500329644866,-0.6420915721681835,4837
GU,609866.226581265,1310686.0,51.27899881148136,-0.6351748414337367,16868
GU,609866.226581265,1310686.0,51.285441873364654,-0.6351138132921404,11493
HA,596580.7528089888,2448671.0,51.582442199286696,-0.32348493279539836,15152
HA,596580.7528089888,2448671.0,51.583760585892975,-0.3227770434921477,21442
HA,596580.7528089888,2448671.0,51.58715864998553,-0.3244753269713732,13172
HP,534659.9519343494,1651576.0,51.7091140787434,-0.6832305393702695,7066
HP,534659.9519343494,1651576.0,51.71215381436722,-0.6994149989626713,14530
HP,534659.9519343494,1651576.0,51.71701370138536,-0.6756887929125787,21878
IG,478319.1661237785,3066135.0,51.57927967857602,0.08016997254388551,18695
IG,478319.1661237785,3066135.0,51.57945449798287,0.07916454902552053,12215
IG,478319.1661237785,3066135.0,51.582936863614854,0.07675317974673827,10140
KT,731906.1572769952,1845420.0,51.36735863527006,-0.3312574367245342,19099
KT,731906.1572769952,1845420.0,51.367861493548254,-0.3283158135701257,8455
KT,731906.1572769952,1845420.0,51.371141943012525,-0.3277813919746393,13687
LU,385699.3228699552,1712064.0,51.89870184416667,-0.47742020227012705,14031
LU,385699.3228699552,1712064.0,51.89931195997774,-0.4743949080562877,8205
LU,385699.3228699552,1712064.0,51.89971744790324,-0.4702490294527704,4867
MK,400900.46466809424,2245805.0,52.07166150790291,-0.6479183255318021,26411
MK,400900.46466809424,2245805.0,52.072716175190614,-0.641053523338562,7146
MK,400900.46466809424,2245805.0,52.073647293780674,-0.639798863123353,15092
N,719888.2046138415,8109724.0,51.57999777979586,-0.10512784070960753,49837
N,719888.2046138415,8109724.0,51.58507366879214,-0.10322883632457981,52630
N,719888.2046138415,8109724.0,51.588251616820564,-0.10538830672882193,33090
NN,402775.6192560175,2548.0,51.95631546666667,-1.1320674458333333,23
NN,402775.6192560175,2548.0,51.962199625,-1.139766375,6
NN,402775.6192560175,2548.0,51.964495928571424,-1.1595316547619048,23
NW,1017730.2774193548,4823101.0,51.54777477709443,-0.193679919655219,37418
NW,1017730.2774193548,4823101.0,51.54914044046555,-0.20017819000877937,34190
NW,1017730.2774193548,4823101.0,51.55042732406128,-0.2033688577610899,21511
OX,586126.5355191256,2059613.0,51.78426475928715,-1.2842770766182319,6610
OX,586126.5355191256,2059613.0,51.78644913487456,-1.2762553281212135,18870
OX,586126.5355191256,2059613.0,51.79788423393192,-1.2874728179472095,26338
